,train,val
0,0.9305462188580457,0.8982175929205758
1,0.47772490066640516,0.8446363806724548
2,0.4138761513373431,0.8856526017189026
3,0.38516278687645406,0.9485554013933454
4,0.35607682571691623,0.7020133435726166
5,0.3350574428544325,0.6586478182247707
6,0.31297590311835793,0.6234702255044665
7,0.2932679947684793,0.613898869071688
8,0.27504056429161744,0.6856939920357296
9,0.2687390043455012,1.1380010758127486
10,0.2598531128729091,0.5499223385538373
11,0.244768826751148,0.5496010056563786
12,0.23175785278572755,0.47120013407298494
13,0.21579518440891715,0.4870466802801405
14,0.20863077140906278,0.5512050347668784
15,0.20245237446883146,0.44755047133990694
16,0.19692983110161388,0.48759942821093966
17,0.19512960367343005,0.5098924807139805
18,0.18751389393035103,0.48978270164557863
19,0.17860460149891236,0.5687084879193988
